config,n_estimators,num_leaves,mse
Config 1,100,31,1.056916837207074
Config 2,100,64,0.9228887597957827
Config 3,100,128,0.8601503839521284
Config 4,150,31,0.7830858027539193
Config 5,150,64,0.6563248934760086
Config 6,150,128,0.5956180291158789
Config 7,200,31,0.6595400279466694
Config 8,200,64,0.5303656852444371
Config 9,200,128,0.4751668751303748
